"REF_DATE","GEO","DGUID","Land use","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","359","","","","0"
"1966","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","404","","","","0"
"1971","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","463","","","","0"
"1976","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","499","","","","0"
"1981","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","511","","","","0"
"1986","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","572","","","","0"
"1991","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","598","","","","0"
"1996","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","608","","","","0"
"2001","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","676","","","","0"
"2006","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","728","","","","0"
"2011","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","778","","","","0"
"2016","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","820","","","","0"
"2021","Canada","2016A000011124","Total area of farms","Average area in acres","Acres","28","units","0","v62725884","1.1.4","809","","","","0"
"1956","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","544125","","","","0"
"1961","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","459550","","","","0"
"1966","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","407721","","","","0"
"1971","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","338429","","","","0"
"1976","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","312302","","","","0"
"1981","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","291879","","","","0"
"1986","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","264141","","","","0"
"1991","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","248147","","","","0"
"1996","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","237760","","","","0"
"2001","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","215581","","","","0"
"2006","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","194717","","","","0"
"2011","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","174343","","","","0"
"2016","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","163431","","","","0"
"2021","Canada","2016A000011124","Land in crops","Number of farms reporting","Number","223","units","0","v62725885","1.2.1","154549","","","","0"
"1921","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","50033611","","","","0"
"1926","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","","..","","","0"
"1931","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","58339948","","","","0"
"1936","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","","..","","","0"
"1941","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","56279910","","","","0"
"1946","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","","..","","","0"
"1951","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","62212086","","","","0"
"1956","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","62943946","","","","0"
"1961","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","62435008","","","","0"
"1966","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","69052785","","","","0"
"1971","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","68765273","","","","0"
"1976","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","70038204","","","","0"
"1981","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","76518197","","","","0"
"1986","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","81992625","","","","0"
"1991","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","82799535","","","","0"
"1996","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","86286078","","","","0"
"2001","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","89934387","","","","0"
"2006","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","88741106","","","","0"
"2011","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","87352431","","","","0"
"2016","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","93382638","","","","0"
"2021","Canada","2016A000011124","Land in crops","Acres","Acres","28","units","0","v62725886","1.2.2","93595208","","","","0"
"1921","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","20247882","","","","0"
"1926","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","","..","","","0"
"1931","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","23609337","","","","0"
"1936","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","","..","","","0"
"1941","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","22775669","","","","0"
"1946","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","","..","","","0"
"1951","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","25176335","","","","0"
"1956","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","25472509","","","","0"
"1961","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","25266549","","","","0"
"1966","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","27944668","","","","0"
"1971","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","27828316","","","","0"
"1976","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","28343453","","","","0"
"1981","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","30965812","","","","0"
"1986","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","33181235","","","","0"
"1991","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","33507780","","","","0"
"1996","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","34918733","","","","0"
"2001","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","36395151","","","","0"
"2006","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","35912247","","","","0"
"2011","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","35350270","","","","0"
"2016","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","37790608","","","","0"
"2021","Canada","2016A000011124","Land in crops","Hectares","Hectares","149","units","0","v62725887","1.2.3","37876632","","","","0"
"1956","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","116","","","","0"
"1961","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","136","","","","0"
"1966","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","169","","","","0"
"1971","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","203","","","","0"
"1976","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","224","","","","0"
"1981","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","262","","","","0"
"1986","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","310","","","","0"
"1991","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","334","","","","0"
"1996","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","363","","","","0"
"2001","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","417","","","","0"
"2006","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","456","","","","0"
"2011","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","501","","","","0"
"2016","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","571","","","","0"
"2021","Canada","2016A000011124","Land in crops","Average area in acres","Acres","28","units","0","v62725888","1.2.4","606","","","","0"
"1976","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","134225","","","","0"
"1981","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","115330","","","","0"
"1986","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","100409","","","","0"
"1991","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","80834","","","","0"
"1996","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","64819","","","","0"
"2001","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","50671","","","","0"
"2006","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","32345","","","","0"
"2011","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","20221","","","","0"
"2016","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","12558","","","","0"
"2021","Canada","2016A000011124","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725889","1.3.1","8755","","","","0"
"1976","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","26983608","","","","0"
"1981","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","23973934","","","","0"
"1986","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","21001527","","","","0"
"1991","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","19573092","","","","0"
"1996","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","15470590","","","","0"
"2001","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","11565518","","","","0"
"2006","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","8662461","","","","0"
"2011","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","5152632","","","","0"
"2016","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","2209071","","","","0"
"2021","Canada","2016A000011124","Summerfallow land","Acres","Acres","28","units","0","v62725890","1.3.2","1319778","","","","0"
"1976","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","10919878","","","","0"
"1981","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","9701906","","","","0"
"1986","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","8499016","","","","0"
"1991","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","7920948","","","","0"
"1996","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","6260725","","","","0"
"2001","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","4680399","","","","0"
"2006","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","3505573","","","","0"
"2011","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","2085196","","","","0"
"2016","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","893979","","","","0"
"2021","Canada","2016A000011124","Summerfallow land","Hectares","Hectares","149","units","0","v62725891","1.3.3","534095","","","","0"
"1976","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","201","","","","0"
"1981","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","208","","","","0"
"1986","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","209","","","","0"
"1991","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","242","","","","0"
"1996","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","239","","","","0"
"2001","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","228","","","","0"
"2006","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","268","","","","0"
"2011","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","255","","","","0"
"2016","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","176","","","","0"
"2021","Canada","2016A000011124","Summerfallow land","Average area in acres","Acres","28","units","0","v62725892","1.3.4","151","","","","0"
"1976","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","133383","","","","0"
"1981","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","130471","","","","0"
"1986","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","95386","","","","0"
"1991","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","89980","","","","0"
"1996","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","89570","","","","0"
"2001","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","82830","","","","0"
"2006","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","75894","","","","0"
"2011","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","64949","","","","0"
"2016","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","54092","","","","0"
"2021","Canada","2016A000011124","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725893","1.4.1","46685","","","","0"
"1976","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","10041031","","","","0"
"1981","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","10884318","","","","0"
"1986","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","8795013","","","","0"
"1991","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","10233180","","","","0"
"1996","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","10746949","","","","0"
"2001","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","11872170","","","","0"
"2006","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","14071138","","","","0"
"2011","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","13671483","","","","0"
"2016","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","12556190","","","","0"
"2021","Canada","2016A000011124","Tame or seeded pasture","Acres","Acres","28","units","0","v62725894","1.4.2","11931579","","","","0"
"1976","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","4063461","","","","0"
"1981","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","4404727","","","","0"
"1986","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","3559215","","","","0"
"1991","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","4141221","","","","0"
"1996","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","4349136","","","","0"
"2001","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","4804496","","","","0"
"2006","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","5694387","","","","0"
"2011","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","5532652","","","","0"
"2016","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","5081309","","","","0"
"2021","Canada","2016A000011124","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725895","1.4.3","4828538","","","","0"
"1976","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","75","","","","0"
"1981","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","83","","","","0"
"1986","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","92","","","","0"
"1991","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","114","","","","0"
"1996","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","120","","","","0"
"2001","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","143","","","","0"
"2006","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","185","","","","0"
"2011","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","210","","","","0"
"2016","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","232","","","","0"
"2021","Canada","2016A000011124","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725896","1.4.4","256","","","","0"
