Year,Share_Ag_in_Total_GHG,Province
2006,9.394496638377161,QC
2007,9.726498195191146,QC
2008,9.73599972900734,QC
2009,10.033603823323983,QC
2010,10.486994650204174,QC
2011,10.377970093631129,QC
2012,11.070087875067289,QC
2013,10.86107777290033,QC
2014,10.96684886372961,QC
2015,11.438069832941979,QC
2016,11.42795006338838,QC
2017,10.58559496769075,QC
2018,11.164976519164025,QC
2019,10.755575032394688,QC
2020,11.836109327862152,QC
2021,11.272228546054583,QC
2022,11.185681715290672,QC
2023,11.259315656479336,QC
1990,6.075057683300562,ON
1991,5.998934384238739,ON
1992,6.028026160712061,ON
1993,6.316684544824969,ON
1994,6.272505018015931,ON
1995,6.382434425029975,ON
1996,6.110568271772521,ON
1997,5.8991875773438,ON
1998,5.8360137120453475,ON
1999,5.64454218667878,ON
2000,5.298585640274988,ON
2001,5.387992378666682,ON
2002,5.441353063400852,ON
2003,5.568000745972924,ON
2004,5.553569404631461,ON
2005,5.423882695030605,ON
2006,5.644994970211644,ON
2007,5.4538300275156315,ON
2008,5.46806609754403,ON
2009,6.2722321730226405,ON
2010,6.088379718649373,ON
2011,6.438932605645661,ON
2012,6.566202050146777,ON
2013,6.711236503247293,ON
2014,6.485059611312592,ON
2015,6.66768546814715,ON
2016,6.9682835465322075,ON
2017,7.163923968089479,ON
2018,6.9475677322917315,ON
2019,7.0852260215352985,ON
2020,8.107397287844314,ON
2021,8.015787468965579,ON
2022,7.850364884063202,ON
2023,8.117260162260633,ON
1990,27.556119244703137,MB
1991,28.322911500564484,MB
1992,29.478895911278734,MB
1993,29.939440860829713,MB
1994,31.127538513213388,MB
1995,31.145873316613308,MB
1996,31.226474556325666,MB
1997,32.13898072309778,MB
1998,31.93454698169707,MB
1999,31.507769151445487,MB
2000,31.15617335071979,MB
2001,32.77455037113107,MB
2002,33.131943465905266,MB
2003,34.11699402941002,MB
2004,34.31926121812994,MB
2005,34.29364274263984,MB
2006,35.68189799208961,MB
2007,32.9120105237255,MB
2008,34.05459884827106,MB
2009,33.29718446373186,MB
2010,33.31656298531499,MB
2011,32.05932611859657,MB
2012,32.46267741405251,MB
2013,32.64953315397431,MB
2014,31.679747938955778,MB
2015,32.81848558816039,MB
2016,33.44949167020361,MB
2017,33.80881563919563,MB
2018,33.34944221730854,MB
2019,33.45626883851741,MB
2020,36.52505923555669,MB
2021,35.17710913615766,MB
2022,33.418838270531445,MB
2023,33.29181723804166,MB
1990,18.33211614095525,SK
1991,17.09069142971921,SK
1992,16.31309616029721,SK
1993,16.05079437965484,SK
1994,15.7065274228744,SK
1995,15.678538899504915,SK
1996,16.183848233165303,SK
1997,15.879202698661981,SK
1998,15.547132852476944,SK
1999,15.550158703879536,SK
2000,15.374545185989852,SK
2001,14.95136627779258,SK
2002,14.679380609051359,SK
2003,15.797762606954379,SK
2004,15.926425395321687,SK
2005,17.188824647821406,SK
2006,16.63939852777591,SK
2007,16.70744524699283,SK
2008,16.988668547091592,SK
2009,16.558289826230688,SK
2010,16.06107801428364,SK
2011,16.588880583848194,SK
2012,16.620768868639065,SK
2013,17.513046502062377,SK
2014,17.094620615976304,SK
2015,17.31848694398572,SK
2016,18.71020547097079,SK
2017,18.536286047658756,SK
2018,18.757408203513474,SK
2019,19.11588094793057,SK
2020,22.308163496500722,SK
2021,21.314770059829197,SK
2022,21.562025256894948,SK
2023,22.308613796431317,SK
1990,8.311354484670943,AB
1991,8.417864975773245,AB
1992,8.4022769027046,AB
1993,8.57110640915605,AB
1994,8.487000786682186,AB
1995,8.726879649448243,AB
1996,8.659312347274799,AB
1997,8.578960204438564,AB
1998,8.71843108363208,AB
1999,8.654933367129786,AB
2000,8.634852369788328,AB
2001,8.709068140775091,AB
2002,8.363389107482503,AB
2003,8.058918743290414,AB
2004,8.317737417760458,AB
2005,8.420620462674476,AB
2006,7.882015503567745,AB
2007,7.607236469109273,AB
2008,7.629286122315046,AB
2009,7.335420389542392,AB
2010,7.103825745859697,AB
2011,6.882690526266376,AB
2012,6.803068997480094,AB
2013,6.785515631763782,AB
2014,6.707491897619667,AB
2015,6.920392383889721,AB
2016,7.179050567037691,AB
2017,6.936042076290365,AB
2018,7.084216469144901,AB
2019,7.174163800531823,AB
2020,7.6672211930280785,AB
2021,7.600158685752967,AB
2022,7.873274960408493,AB
2023,7.48258448154075,AB
1990,4.862662573377257,BC
1991,5.138473921944079,BC
1992,5.467428744424307,BC
1993,5.180071902895715,BC
1994,4.7677867676678805,BC
1995,4.540827631266428,BC
1996,4.479390360260939,BC
1997,4.700875706921061,BC
1998,4.479703646210112,BC
1999,4.602463391408628,BC
2000,4.656730483759384,BC
2001,4.696592328977419,BC
2002,4.593901000273502,BC
2003,4.655578968409217,BC
2004,4.57047802228833,BC
2005,4.617491495073347,BC
2006,4.384400020296162,BC
2007,4.17110787565626,BC
2008,3.9821437063294303,BC
2009,3.825255735960313,BC
2010,4.151219452358632,BC
2011,4.165924274139432,BC
2012,4.416799069539621,BC
2013,4.435617542626419,BC
2014,4.457917807772488,BC
2015,4.7280062279704795,BC
2016,4.986983238688582,BC
2017,4.956224613381113,BC
2018,5.057500517018032,BC
2019,5.00519827823265,BC
2020,5.3301561774439685,BC
2021,5.147897812998893,BC
2022,5.059615122446162,BC
2023,5.016468326418093,BC
1990,0.6973594130443121,YT
1991,1.3958127668807097,YT
1992,1.9262931279959892,YT
1993,1.4607932035877156,YT
1994,1.6177024153561432,YT
1995,1.8633838876608948,YT
1996,1.4007395214624605,YT
1997,1.396312863612517,YT
1998,1.791399438814079,YT
1999,2.1355930249132196,YT
2000,0.4544751634042688,YT
2001,2.9618373255397503,YT
2002,3.2858430349696044,YT
2003,4.79381256982651,YT
2004,3.7218793973461626,YT
2005,1.782313346741616,YT
2006,1.3101543508723688,YT
2007,0.16612042658795265,YT
2008,0.19683295648953666,YT
2009,0.34013171663929365,YT
2010,0.4336864705509132,YT
2011,0.7254299723319795,YT
2012,0.7903758517570447,YT
2013,0.9093444546504006,YT
2014,0.763826789873042,YT
2015,0.7921804435786751,YT
2016,0.729941719329196,YT
2017,0.9533946234293218,YT
2018,1.2234937956606378,YT
2019,1.003105722700826,YT
2020,1.0111263451556753,YT
2021,1.3194979435795289,YT
2022,1.305946892751518,YT
2023,1.3127490400244803,YT
