"REF_DATE","GEO","DGUID","Farms according to the number of operators reported","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with two or more operators","Total number of farms","Number","223","units","0","v1327216748","2.3.1","104","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with two or more operators","Total number of farm operators","Number","223","units","0","v1327216749","2.3.2","215","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with two or more operators","Sex - male","Number","223","units","0","v1327216750","2.3.3","135","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with two or more operators","Sex - female","Number","223","units","0","v1327216751","2.3.4","80","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with two or more operators","Age - under 35 years","Number","223","units","0","v1327216752","2.3.5","10","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with two or more operators","Age - 35 to 54 years","Number","223","units","0","v1327216753","2.3.6","75","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with two or more operators","Age - 55 years and over","Number","223","units","0","v1327216754","2.3.7","130","","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Farms with two or more operators","Age - average","Number","223","units","0","v1327216755","2.3.8","56.3","","","","1"
"2021","Prince Edward Island [PR110000000]","2021A000211","All farms","Total number of farms","Number","223","units","0","v1327217675","37.1.1","1195","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","All farms","Total number of farm operators","Number","223","units","0","v1327217676","37.1.2","1600","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","All farms","Sex - male","Number","223","units","0","v1327217677","37.1.3","1280","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","All farms","Sex - female","Number","223","units","0","v1327217678","37.1.4","320","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","All farms","Age - under 35 years","Number","223","units","0","v1327217679","37.1.5","95","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","All farms","Age - 35 to 54 years","Number","223","units","0","v1327217680","37.1.6","535","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","All farms","Age - 55 years and over","Number","223","units","0","v1327217681","37.1.7","970","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","All farms","Age - average","Number","223","units","0","v1327217682","37.1.8","56.4","","","","1"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with one operator","Total number of farms","Number","223","units","0","v1327217684","37.2.1","805","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with one operator","Total number of farm operators","Number","223","units","0","v1327217685","37.2.2","785","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with one operator","Sex - male","Number","223","units","0","v1327217686","37.2.3","710","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with one operator","Sex - female","Number","223","units","0","v1327217687","37.2.4","80","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with one operator","Age - under 35 years","Number","223","units","0","v1327217688","37.2.5","30","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with one operator","Age - 35 to 54 years","Number","223","units","0","v1327217689","37.2.6","250","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with one operator","Age - 55 years and over","Number","223","units","0","v1327217690","37.2.7","500","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with one operator","Age - average","Number","223","units","0","v1327217691","37.2.8","57.8","","","","1"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with two or more operators","Total number of farms","Number","223","units","0","v1327217693","37.3.1","390","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with two or more operators","Total number of farm operators","Number","223","units","0","v1327217694","37.3.2","810","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with two or more operators","Sex - male","Number","223","units","0","v1327217695","37.3.3","570","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with two or more operators","Sex - female","Number","223","units","0","v1327217696","37.3.4","245","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with two or more operators","Age - under 35 years","Number","223","units","0","v1327217697","37.3.5","65","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with two or more operators","Age - 35 to 54 years","Number","223","units","0","v1327217698","37.3.6","285","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with two or more operators","Age - 55 years and over","Number","223","units","0","v1327217699","37.3.7","465","","","","0"
"2021","Prince Edward Island [PR110000000]","2021A000211","Farms with two or more operators","Age - average","Number","223","units","0","v1327217700","37.3.8","55.0","","","","1"
"2021","Nova Scotia [PR120000000]","2021A000212","All farms","Total number of farms","Number","223","units","0","v1327218782","78.1.1","2741","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","All farms","Total number of farm operators","Number","223","units","0","v1327218783","78.1.2","3785","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","All farms","Sex - male","Number","223","units","0","v1327218784","78.1.3","2670","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","All farms","Sex - female","Number","223","units","0","v1327218785","78.1.4","1115","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","All farms","Age - under 35 years","Number","223","units","0","v1327218786","78.1.5","240","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","All farms","Age - 35 to 54 years","Number","223","units","0","v1327218787","78.1.6","985","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","All farms","Age - 55 years and over","Number","223","units","0","v1327218788","78.1.7","2560","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","All farms","Age - average","Number","223","units","0","v1327218789","78.1.8","58.2","","","","1"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with one operator","Total number of farms","Number","223","units","0","v1327218791","78.2.1","1737","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with one operator","Total number of farm operators","Number","223","units","0","v1327218792","78.2.2","1705","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with one operator","Sex - male","Number","223","units","0","v1327218793","78.2.3","1460","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with one operator","Sex - female","Number","223","units","0","v1327218794","78.2.4","250","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with one operator","Age - under 35 years","Number","223","units","0","v1327218795","78.2.5","65","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with one operator","Age - 35 to 54 years","Number","223","units","0","v1327218796","78.2.6","375","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with one operator","Age - 55 years and over","Number","223","units","0","v1327218797","78.2.7","1255","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with one operator","Age - average","Number","223","units","0","v1327218798","78.2.8","60.2","","","","1"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with two or more operators","Total number of farms","Number","223","units","0","v1327218800","78.3.1","1004","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with two or more operators","Total number of farm operators","Number","223","units","0","v1327218801","78.3.2","2075","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with two or more operators","Sex - male","Number","223","units","0","v1327218802","78.3.3","1215","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with two or more operators","Sex - female","Number","223","units","0","v1327218803","78.3.4","870","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with two or more operators","Age - under 35 years","Number","223","units","0","v1327218804","78.3.5","170","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with two or more operators","Age - 35 to 54 years","Number","223","units","0","v1327218805","78.3.6","610","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with two or more operators","Age - 55 years and over","Number","223","units","0","v1327218806","78.3.7","1300","","","","0"
"2021","Nova Scotia [PR120000000]","2021A000212","Farms with two or more operators","Age - average","Number","223","units","0","v1327218807","78.3.8","56.5","","","","1"
"2021","New Brunswick [PR130000000]","2021A000213","All farms","Total number of farms","Number","223","units","0","v1327220483","141.1.1","1851","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","All farms","Total number of farm operators","Number","223","units","0","v1327220484","141.1.2","2475","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","All farms","Sex - male","Number","223","units","0","v1327220485","141.1.3","1885","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","All farms","Sex - female","Number","223","units","0","v1327220486","141.1.4","585","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","All farms","Age - under 35 years","Number","223","units","0","v1327220487","141.1.5","165","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","All farms","Age - 35 to 54 years","Number","223","units","0","v1327220488","141.1.6","755","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","All farms","Age - 55 years and over","Number","223","units","0","v1327220489","141.1.7","1555","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","All farms","Age - average","Number","223","units","0","v1327220490","141.1.8","57.0","","","","1"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with one operator","Total number of farms","Number","223","units","0","v1327220492","141.2.1","1263","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with one operator","Total number of farm operators","Number","223","units","0","v1327220493","141.2.2","1240","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with one operator","Sex - male","Number","223","units","0","v1327220494","141.2.3","1085","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with one operator","Sex - female","Number","223","units","0","v1327220495","141.2.4","155","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with one operator","Age - under 35 years","Number","223","units","0","v1327220496","141.2.5","55","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with one operator","Age - 35 to 54 years","Number","223","units","0","v1327220497","141.2.6","335","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with one operator","Age - 55 years and over","Number","223","units","0","v1327220498","141.2.7","845","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with one operator","Age - average","Number","223","units","0","v1327220499","141.2.8","58.8","","","","1"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with two or more operators","Total number of farms","Number","223","units","0","v1327220501","141.3.1","588","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with two or more operators","Total number of farm operators","Number","223","units","0","v1327220502","141.3.2","1230","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with two or more operators","Sex - male","Number","223","units","0","v1327220503","141.3.3","800","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with two or more operators","Sex - female","Number","223","units","0","v1327220504","141.3.4","430","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with two or more operators","Age - under 35 years","Number","223","units","0","v1327220505","141.3.5","100","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with two or more operators","Age - 35 to 54 years","Number","223","units","0","v1327220506","141.3.6","420","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with two or more operators","Age - 55 years and over","Number","223","units","0","v1327220507","141.3.7","705","","","","0"
"2021","New Brunswick [PR130000000]","2021A000213","Farms with two or more operators","Age - average","Number","223","units","0","v1327220508","141.3.8","55.1","","","","1"
"2021","Quebec [PR240000000]","2021A000224","All farms","Total number of farms","Number","223","units","0","v1327223372","248.1.1","29380","","","","0"
"2021","Quebec [PR240000000]","2021A000224","All farms","Total number of farm operators","Number","223","units","0","v1327223373","248.1.2","42265","","","","0"
"2021","Quebec [PR240000000]","2021A000224","All farms","Sex - male","Number","223","units","0","v1327223374","248.1.3","30580","","","","0"
"2021","Quebec [PR240000000]","2021A000224","All farms","Sex - female","Number","223","units","0","v1327223375","248.1.4","11690","","","","0"
"2021","Quebec [PR240000000]","2021A000224","All farms","Age - under 35 years","Number","223","units","0","v1327223376","248.1.5","3645","","","","0"
"2021","Quebec [PR240000000]","2021A000224","All farms","Age - 35 to 54 years","Number","223","units","0","v1327223377","248.1.6","16045","","","","0"
"2021","Quebec [PR240000000]","2021A000224","All farms","Age - 55 years and over","Number","223","units","0","v1327223378","248.1.7","22590","","","","0"
"2021","Quebec [PR240000000]","2021A000224","All farms","Age - average","Number","223","units","0","v1327223379","248.1.8","54.0","","","","1"
"2021","Quebec [PR240000000]","2021A000224","Farms with one operator","Total number of farms","Number","223","units","0","v1327223381","248.2.1","16481","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with one operator","Total number of farm operators","Number","223","units","0","v1327223382","248.2.2","15670","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with one operator","Sex - male","Number","223","units","0","v1327223383","248.2.3","13375","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with one operator","Sex - female","Number","223","units","0","v1327223384","248.2.4","2290","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with one operator","Age - under 35 years","Number","223","units","0","v1327223385","248.2.5","855","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with one operator","Age - 35 to 54 years","Number","223","units","0","v1327223386","248.2.6","5665","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with one operator","Age - 55 years and over","Number","223","units","0","v1327223387","248.2.7","9165","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with one operator","Age - average","Number","223","units","0","v1327223388","248.2.8","56.0","","","","1"
"2021","Quebec [PR240000000]","2021A000224","Farms with two or more operators","Total number of farms","Number","223","units","0","v1327223390","248.3.1","12899","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with two or more operators","Total number of farm operators","Number","223","units","0","v1327223391","248.3.2","26595","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with two or more operators","Sex - male","Number","223","units","0","v1327223392","248.3.3","17200","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with two or more operators","Sex - female","Number","223","units","0","v1327223393","248.3.4","9395","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with two or more operators","Age - under 35 years","Number","223","units","0","v1327223394","248.3.5","2790","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with two or more operators","Age - 35 to 54 years","Number","223","units","0","v1327223395","248.3.6","10375","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with two or more operators","Age - 55 years and over","Number","223","units","0","v1327223396","248.3.7","13425","","","","0"
"2021","Quebec [PR240000000]","2021A000224","Farms with two or more operators","Age - average","Number","223","units","0","v1327223397","248.3.8","52.8","","","","1"
"2021","Ontario [PR350000000]","2021A000235","All farms","Total number of farms","Number","223","units","0","v1327244999","1049.1.1","48346","","","","0"
"2021","Ontario [PR350000000]","2021A000235","All farms","Total number of farm operators","Number","223","units","0","v1327245000","1049.1.2","67390","","","","0"
"2021","Ontario [PR350000000]","2021A000235","All farms","Sex - male","Number","223","units","0","v1327245001","1049.1.3","46490","","","","0"
"2021","Ontario [PR350000000]","2021A000235","All farms","Sex - female","Number","223","units","0","v1327245002","1049.1.4","20895","","","","0"
"2021","Ontario [PR350000000]","2021A000235","All farms","Age - under 35 years","Number","223","units","0","v1327245003","1049.1.5","5620","","","","0"
"2021","Ontario [PR350000000]","2021A000235","All farms","Age - 35 to 54 years","Number","223","units","0","v1327245004","1049.1.6","19780","","","","0"
"2021","Ontario [PR350000000]","2021A000235","All farms","Age - 55 years and over","Number","223","units","0","v1327245005","1049.1.7","42000","","","","0"
"2021","Ontario [PR350000000]","2021A000235","All farms","Age - average","Number","223","units","0","v1327245006","1049.1.8","56.7","","","","1"
"2021","Ontario [PR350000000]","2021A000235","Farms with one operator","Total number of farms","Number","223","units","0","v1327245008","1049.2.1","28511","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with one operator","Total number of farm operators","Number","223","units","0","v1327245009","1049.2.2","27430","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with one operator","Sex - male","Number","223","units","0","v1327245010","1049.2.3","23585","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with one operator","Sex - female","Number","223","units","0","v1327245011","1049.2.4","3850","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with one operator","Age - under 35 years","Number","223","units","0","v1327245012","1049.2.5","2205","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with one operator","Age - 35 to 54 years","Number","223","units","0","v1327245013","1049.2.6","7415","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with one operator","Age - 55 years and over","Number","223","units","0","v1327245014","1049.2.7","17820","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with one operator","Age - average","Number","223","units","0","v1327245015","1049.2.8","57.9","","","","1"
"2021","Ontario [PR350000000]","2021A000235","Farms with two or more operators","Total number of farms","Number","223","units","0","v1327245017","1049.3.1","19835","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with two or more operators","Total number of farm operators","Number","223","units","0","v1327245018","1049.3.2","39960","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with two or more operators","Sex - male","Number","223","units","0","v1327245019","1049.3.3","22905","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with two or more operators","Sex - female","Number","223","units","0","v1327245020","1049.3.4","17045","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with two or more operators","Age - under 35 years","Number","223","units","0","v1327245021","1049.3.5","3415","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with two or more operators","Age - 35 to 54 years","Number","223","units","0","v1327245022","1049.3.6","12360","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with two or more operators","Age - 55 years and over","Number","223","units","0","v1327245023","1049.3.7","24180","","","","0"
"2021","Ontario [PR350000000]","2021A000235","Farms with two or more operators","Age - average","Number","223","units","0","v1327245024","1049.3.8","55.9","","","","1"
"2021","Manitoba [PR460000000]","2021A000246","All farms","Total number of farms","Number","223","units","0","v1327253855","1377.1.1","14543","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","All farms","Total number of farm operators","Number","223","units","0","v1327253856","1377.1.2","19465","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","All farms","Sex - male","Number","223","units","0","v1327253857","1377.1.3","14315","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","All farms","Sex - female","Number","223","units","0","v1327253858","1377.1.4","5150","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","All farms","Age - under 35 years","Number","223","units","0","v1327253859","1377.1.5","2230","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","All farms","Age - 35 to 54 years","Number","223","units","0","v1327253860","1377.1.6","6375","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","All farms","Age - 55 years and over","Number","223","units","0","v1327253861","1377.1.7","10865","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","All farms","Age - average","Number","223","units","0","v1327253862","1377.1.8","54.4","","","","1"
"2021","Manitoba [PR460000000]","2021A000246","Farms with one operator","Total number of farms","Number","223","units","0","v1327253864","1377.2.1","9478","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with one operator","Total number of farm operators","Number","223","units","0","v1327253865","1377.2.2","9220","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with one operator","Sex - male","Number","223","units","0","v1327253866","1377.2.3","8225","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with one operator","Sex - female","Number","223","units","0","v1327253867","1377.2.4","995","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with one operator","Age - under 35 years","Number","223","units","0","v1327253868","1377.2.5","1165","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with one operator","Age - 35 to 54 years","Number","223","units","0","v1327253869","1377.2.6","2810","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with one operator","Age - 55 years and over","Number","223","units","0","v1327253870","1377.2.7","5250","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with one operator","Age - average","Number","223","units","0","v1327253871","1377.2.8","54.6","","","","1"
"2021","Manitoba [PR460000000]","2021A000246","Farms with two or more operators","Total number of farms","Number","223","units","0","v1327253873","1377.3.1","5065","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with two or more operators","Total number of farm operators","Number","223","units","0","v1327253874","1377.3.2","10250","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with two or more operators","Sex - male","Number","223","units","0","v1327253875","1377.3.3","6085","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with two or more operators","Sex - female","Number","223","units","0","v1327253876","1377.3.4","4160","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with two or more operators","Age - under 35 years","Number","223","units","0","v1327253877","1377.3.5","1070","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with two or more operators","Age - 35 to 54 years","Number","223","units","0","v1327253878","1377.3.6","3560","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with two or more operators","Age - 55 years and over","Number","223","units","0","v1327253879","1377.3.7","5615","","","","0"
"2021","Manitoba [PR460000000]","2021A000246","Farms with two or more operators","Age - average","Number","223","units","0","v1327253880","1377.3.8","54.3","","","","1"
"2021","Saskatchewan [PR470000000]","2021A000247","All farms","Total number of farms","Number","223","units","0","v1327257662","1518.1.1","34128","","","","0"
"2021","Saskatchewan [PR470000000]","2021A000247","All farms","Total number of farm operators","Number","223","units","0","v1327257663","1518.1.2","44140","","","","0"
"2021","Saskatchewan [PR470000000]","2021A000247","All farms","Sex - male","Number","223","units","0","v1327257664","1518.1.3","32130","","","","0"
"2021","Saskatchewan [PR470000000]","2021A000247","All farms","Sex - female","Number","223","units","0","v1327257665","1518.1.4","12010","","","","0"
"2021","Saskatchewan [PR470000000]","2021A000247","All farms","Age - under 35 years","Number","223","units","0","v1327257666","1518.1.5","4305","","","","0"
"2021","Saskatchewan [PR470000000]","2021A000247","All farms","Age - 35 to 54 years","Number","223","units","0","v1327257667","1518.1.6","13065","","","","0"
